,Unnamed: 0.1,Unnamed: 0,Product_Desc,First_part,Type,Type_2
564,1111,1111,ALLERCET M SYRUP 60ML,ALLERCETM,SYRUP 60ML, BOTTLE OF 60 ML SYRUP
565,1112,1112,ALLERCET M TABLETS 1*10,ALLERCETM,STRIP OF 10 TABLETS, BOTTLE OF 60 ML SYRUP
566,1113,1113,ALLERCET SYRUP 60ML,ALLERCET,SYRUP 60ML, BOTTLE OF 60 ML SYRUP
567,1114,1114,ALLERCET TABLETS 10^S,ALLERCET,STRIP OF 10 TABLETS, BOTTLE OF 60 ML SYRUP
568,1108,1108,ALLERCET L TABLETS 10^S,ALLERCETL,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
569,1110,1110,ALLERCET M SYRUP 60 ML,ALLERCETM,SYRUP 60 ML, STRIP OF 10 TABLETS
570,1111,1111,ALLERCET M SYRUP 60ML,ALLERCETM,SYRUP 60ML, STRIP OF 10 TABLETS
571,1112,1112,ALLERCET M TABLETS 1*10,ALLERCETM,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
572,1113,1113,ALLERCET SYRUP 60ML,ALLERCET,SYRUP 60ML, STRIP OF 10 TABLETS
573,1114,1114,ALLERCET TABLETS 10^S,ALLERCET,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
574,1104,1104,ALLERCET COLD SYRUP 60ML,ALLERCETCOLD,SYRUP 60ML, BOTTLE OF 60 ML SYRUP
575,1105,1105,ALLERCET COLD TABLETS 10^S,ALLERCETCOLD,STRIP OF 10 TABLETS, BOTTLE OF 60 ML SYRUP
576,1104,1104,ALLERCET COLD SYRUP 60ML,ALLERCETCOLD,SYRUP 60ML, STRIP OF 10 TABLETS
577,1105,1105,ALLERCET COLD TABLETS 10^S,ALLERCETCOLD,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
578,1106,1106,ALLERCET DC TABLETS          (7) 10^S,ALLERCETDC,TABLETS          (7) STRIP OF 10, STRIP OF 10 TABLETS
579,1107,1107,ALLERCET DC TABLETS 10T,ALLERCETDC,TABLETS 10T, STRIP OF 10 TABLETS
580,1108,1108,ALLERCET L TABLETS 10^S,ALLERCETL,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
581,1113,1113,ALLERCET SYRUP 60ML,ALLERCET,SYRUP 60ML, STRIP OF 10 TABLETS
582,1114,1114,ALLERCET TABLETS 10^S,ALLERCET,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
583,1110,1110,ALLERCET M SYRUP 60 ML,ALLERCETM,SYRUP 60 ML, BOTTLE OF 60 ML SYRUP
584,1111,1111,ALLERCET M SYRUP 60ML,ALLERCETM,SYRUP 60ML, BOTTLE OF 60 ML SYRUP
585,1112,1112,ALLERCET M TABLETS 1*10,ALLERCETM,STRIP OF 10 TABLETS, BOTTLE OF 60 ML SYRUP
586,1113,1113,ALLERCET SYRUP 60ML,ALLERCET,SYRUP 60ML, BOTTLE OF 60 ML SYRUP
587,1114,1114,ALLERCET TABLETS 10^S,ALLERCET,STRIP OF 10 TABLETS, BOTTLE OF 60 ML SYRUP
588,1110,1110,ALLERCET M SYRUP 60 ML,ALLERCETM,SYRUP 60 ML, STRIP OF 10 TABLETS
589,1111,1111,ALLERCET M SYRUP 60ML,ALLERCETM,SYRUP 60ML, STRIP OF 10 TABLETS
590,1112,1112,ALLERCET M TABLETS 1*10,ALLERCETM,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
591,1113,1113,ALLERCET SYRUP 60ML,ALLERCET,SYRUP 60ML, STRIP OF 10 TABLETS
592,1114,1114,ALLERCET TABLETS 10^S,ALLERCET,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
593,1117,1117,ALLERDEST M TABLETS 10,ALLERDESTM,TABLETS 10, STRIP OF 10 TABLETS
594,1128,1128,ALLERMED AM TABLETS 10S,ALLERMEDAM,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
595,1132,1132,ALLOLENE CREAM 50GM,ALLOLENE,CREAM 50GM, TUBE OF 50 GM CREAM
596,1133,1133,ALLOLENE TABLETS.. 10^S,ALLOLENE,TABLETS.. STRIP OF 10, TUBE OF 50 GM CREAM
597,1138,1138,ALLURE TABLETS 10S,ALLURE,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
598,1139,1139,ALLURE+PLUS TABLETS 10^S,ALLURE+PLUS,STRIP OF 10 TABLETS, BOTTLE OF 30 TABLETS
599,1148,1148,ALMITO PLUS CAPSULES 10`S,ALMITOPLUS,STRIP OF 10 CAPSULES`S, STRIP OF 10 CAPSULES
600,1150,1150,ALMITY PLUS TABLETS 1*15,ALMITYPLUS,TABLETS 1*15, STRIP OF 10 CAPSULES
601,1149,1149,ALMITY  TABLETS 1*10,ALMITY,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
602,1148,1148,ALMITO PLUS CAPSULES 10`S,ALMITOPLUS,STRIP OF 10 CAPSULES`S, STRIP OF 15 TABLETS
603,1150,1150,ALMITY PLUS TABLETS 1*15,ALMITYPLUS,TABLETS 1*15, STRIP OF 15 TABLETS
604,1150,1150,ALMITY PLUS TABLETS 1*15,ALMITYPLUS,TABLETS 1*15, STRIP OF 10 TABLETS
605,1153,1153,ALMOX 250 CAPSULES 10C,ALMOX250,STRIP OF 10 CAPSULESC, STRIP OF 10 CAPSULES
606,1154,1154,ALMOX 500 CAPSULES 10S,ALMOX500,STRIP OF 10 CAPSULESS, STRIP OF 10 CAPSULES
607,1155,1155,ALNEX NT TABLETS 10^S,ALNEXNT,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
608,1010,1010,ALFER SYRUP 150ML,ALFER,SYRUP 150ML, STRIP OF 10 TABLETS
609,1011,1011,ALFER TABLETS 10^S,ALFER,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
610,1165,1165,ALOGRACE CREAM 50G,ALOGRACE,CREAM 50G, BOTTLE OF 50 GM CREAM
611,1166,1166,ALOGRACE CREAM 50GM,ALOGRACE,CREAM 50GM, BOTTLE OF 50 GM CREAM
612,1167,1167,ALOGRACE CREAM 50GM,ALOGRACE,CREAM 50GM, BOTTLE OF 50 GM CREAM
613,1165,1165,ALOGRACE CREAM 50G,ALOGRACE,CREAM 50G, PACK OF 75G SOAP
614,1166,1166,ALOGRACE CREAM 50GM,ALOGRACE,CREAM 50GM, PACK OF 75G SOAP
615,1167,1167,ALOGRACE CREAM 50GM,ALOGRACE,CREAM 50GM, PACK OF 75G SOAP
616,1168,1168,ALOHA XT TABLETS^S 10^S,ALOHAXT,TABLETS^S STRIP OF 10, BOTTLE OF 10 TABLETS
617,1169,1169,ALOHA XT TABLETS 30^S,ALOHAXT,STRIP OF 30 TABLETS, BOTTLE OF 10 TABLETS
618,1168,1168,ALOHA XT TABLETS^S 10^S,ALOHAXT,TABLETS^S STRIP OF 10, BOTTLE OF 30 TABLETS
619,1169,1169,ALOHA XT TABLETS 30^S,ALOHAXT,STRIP OF 30 TABLETS, BOTTLE OF 30 TABLETS
620,1176,1176,ALOJA M FORTE TABLETS 60^S,ALOJAMFORTE,TABLETS STRIP OF 60, PACK OF 60 TABLETS
621,1176,1176,ALOJA M FORTE TABLETS 60^S,ALOJAMFORTE,TABLETS STRIP OF 60, STRIP OF 10 TABLETS
622,1178,1178,ALORTI M TABLETS 10^S,ALORTIM,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
623,1179,1179,ALORTI TABLETS 10^s,ALORTI,TABLETS 10^S, STRIP OF 10 TABLETS
624,1178,1178,ALORTI M TABLETS 10^S,ALORTIM,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
625,1186,1186,ALPHACEPT D 8 TABLETS 1*10,ALPHACEPTD8,STRIP OF 10 TABLETS, STRIP OF 10 CAPSULES
626,1186,1186,ALPHACEPT D 8 TABLETS 1*10,ALPHACEPTD8,STRIP OF 10 TABLETS, STRIP OF 15 CAPSULES
627,1186,1186,ALPHACEPT D 8 TABLETS 1*10,ALPHACEPTD8,STRIP OF 10 TABLETS, STRIP OF 15 TABLETS
628,1186,1186,ALPHACEPT D 8 TABLETS 1*10,ALPHACEPTD8,STRIP OF 10 TABLETS, STRIP OF 20 TABLETS
629,1191,1191,ALPHADOL C CAPSULES 10^S,ALPHADOLC,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
630,1191,1191,ALPHADOL C CAPSULES 10^S,ALPHADOLC,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
631,1192,1192,ALPHADOPA L TABLETS 10^S,ALPHADOPAL,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
632,1193,1193,ALPHAGAN DROP 5ML,ALPHAGAN,DROP 5ML, BOTTLE OF 5 ML SOLUTION
633,1196,1196,ALPHAGAN Z DROP # 5ML,ALPHAGANZ,DROP # 5ML, BOTTLE OF 5 ML SOLUTION
634,1197,1197,ALPHAGAN Z DROP 5ML,ALPHAGANZ,DROP 5ML, BOTTLE OF 5 ML SOLUTION
635,1202,1202,ALPRAX PLUS TABLETS 10S,ALPRAXPLUS,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
636,1204,1204,ALPROCONTIN 0.5 TABLETS 10^S,ALPROCONTIN0.5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
637,1206,1206,ALPROVIT PLUS SYRUP 200ML,ALPROVITPLUS,SYRUP 200ML, BOTTLE OF 200 ML SYRUP
638,1210,1210,ALRISTA FORTE TABLETS 10^S,ALRISTAFORTE,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
639,1211,1211,ALRISTA PLUS TABLETS 10^S,ALRISTAPLUS,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
640,1212,1212,ALRISTA SR TABLETS 10^S,ALRISTASR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
641,1216,1216,ALSARTAN 50 TABLETS 10^S,ALSARTAN50,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
642,1216,1216,ALSARTAN 50 TABLETS 10^S,ALSARTAN50,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
643,1217,1217,ALSARTAN H TABLETS 10^S,ALSARTANH,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
644,1223,1223,ALSITA M 100 TABLETS 10S,ALSITAM100,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
645,1223,1223,ALSITA M 100 TABLETS 10S,ALSITAM100,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
646,1223,1223,ALSITA M 100 TABLETS 10S,ALSITAM100,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
647,1227,1227,ALSITA M 50 TABLETS 10S,ALSITAM50,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
648,1227,1227,ALSITA M 50 TABLETS 10S,ALSITAM50,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
649,1225,1225,ALSITA M 50 FORTE IR TABLETS 10S,ALSITAM50FORTEIR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
650,1225,1225,ALSITA M 50 FORTE IR TABLETS 10S,ALSITAM50FORTEIR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
651,1226,1226,ALSITA M 50 IR TABLETS 10S,ALSITAM50IR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
652,1226,1226,ALSITA M 50 IR TABLETS 10S,ALSITAM50IR,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
653,1232,1232,ALSODA SYRUP 100ML,ALSODA,SYRUP 100ML, BOTTLE OF 100ML SYRUP
654,1233,1233,ALSODY CAPSULES 1*10,ALSODY,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
655,2600,2600,ASTAR OINTMENT 75GM,ASTAR,OINTMENT 75GM, STRIP OF 10 TABLETS
656,1255,1255,ALTHROCIN DROPS 10ML,ALTHROCIN,DROPS 10ML, BOTTLE OF 10 ML DROPS
657,1255,1255,ALTHROCIN DROPS 10ML,ALTHROCIN,DROPS 10ML, BOTTLE OF 60 ML SUSPENSION
658,1265,1265,ALTOMIN XL TABLETS 10^S,ALTOMINXL,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
659,1270,1270,ALTORAN 40 TABLETS 10^S,ALTORAN40,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
660,1271,1271,ALTORAN 80 TABLETS 10^S,ALTORAN80,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
661,1272,1272,ALTORAN CH 12.5 TABLETS 10^S,ALTORANCH12.5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
662,1274,1274,ALTRADAY CAPSULES 10^S,ALTRADAY,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
663,1275,1275,ALTRADAY CAPSULES 10^S,ALTRADAY,STRIP OF 10 CAPSULES, STRIP OF 10 CAPSULES
664,1276,1276,ALTRAFLAM P TABLETS 10^S,ALTRAFLAMP,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
665,1279,1279,ALTRIS GEL 100GM,ALTRIS,GEL 100GM, BOTTLE OF 30ML TOPICAL SOLUTION
666,1280,1280,ALTRIS GEL 60GM,ALTRIS,GEL 60GM, BOTTLE OF 30ML TOPICAL SOLUTION
667,1279,1279,ALTRIS GEL 100GM,ALTRIS,GEL 100GM, BOTTLE OF 60 ML SOLUTION
668,1280,1280,ALTRIS GEL 60GM,ALTRIS,GEL 60GM, BOTTLE OF 60 ML SOLUTION
669,1292,1292,ALZ PLUS TABLETS 10^S,ALZPLUS,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
670,1295,1295,ALZIL 10 TABLETS 10^S,ALZIL10,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
671,1296,1296,ALZIL 5 TABLETS 10^S,ALZIL5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
672,1297,1297,ALZIL M FORTE 10 TABLETS 10.S,ALZILMFORTE10,TABLETS 10.S, STRIP OF 10 TABLETS
673,1299,1299,ALZIL-M 10 TABLETS 10^S,ALZIL-M10,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
674,1300,1300,ALZIL-M 5  TABLETS 10^S,ALZIL-M5,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
675,843,843,AL 5 ZYME CAPSULES 10^S,AL5ZYME,STRIP OF 10 CAPSULES, BOTTLE OF 200 ML SYRUP
676,844,844,AL 5 ZYME DROPS 15ML,AL5ZYME,DROPS 15ML, BOTTLE OF 200 ML SYRUP
677,845,845,AL 5 ZYME SYRUP 100ML,AL5ZYME,SYRUP 100ML, BOTTLE OF 200 ML SYRUP
678,1306,1306,AMACE TABLETS 10T,AMACE,TABLETS 10T, STRIP OF 10 TABLETS
679,1316,1316,AMANTREL CAPSULES 15^S,AMANTREL,STRIP OF 15 CAPSULES, STRIP OF 2X15 TABLETS
680,1324,1324,AMARYL M1 FORTE TABLETS 15T,AMARYLM1FORTE,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
681,1327,1327,AMARYL M2 FORTE TABLETS 15S,AMARYLM2FORTE,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
682,1324,1324,AMARYL M1 FORTE TABLETS 15T,AMARYLM1FORTE,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
683,1327,1327,AMARYL M2 FORTE TABLETS 15S,AMARYLM2FORTE,STRIP OF 15 TABLETS, STRIP OF 10 TABLETS
684,1320,1320,AMARYL 2 TABLETS 30^S,AMARYL2,STRIP OF 30 TABLETS, STRIP OF 20 TABLETS
685,1328,1328,AMARYL M2 TABLETS 20.S,AMARYLM2,TABLETS 20.S, STRIP OF 20 TABLETS
686,1329,1329,AMARYL M2 TABLETS 30S,AMARYLM2,TABLETS 30S, STRIP OF 20 TABLETS
687,1330,1330,AMARYL MP 2 TABLETS 15S,AMARYLMP2,STRIP OF 15 TABLETS, STRIP OF 20 TABLETS
688,1332,1332,AMARYL MV2 TABLETS 15S,AMARYLMV2,STRIP OF 15 TABLETS, STRIP OF 20 TABLETS
689,1328,1328,AMARYL M2 TABLETS 20.S,AMARYLM2,TABLETS 20.S, STRIP OF 20 TABLETS
690,1329,1329,AMARYL M2 TABLETS 30S,AMARYLM2,TABLETS 30S, STRIP OF 20 TABLETS
691,1330,1330,AMARYL MP 2 TABLETS 15S,AMARYLMP2,STRIP OF 15 TABLETS, STRIP OF 20 TABLETS
692,1330,1330,AMARYL MP 2 TABLETS 15S,AMARYLMP2,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
693,1331,1331,AMARYL MV1 TABLETS 15S,AMARYLMV1,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
694,1332,1332,AMARYL MV2 TABLETS 15S,AMARYLMV2,STRIP OF 15 TABLETS, STRIP OF 15 TABLETS
695,1335,1335,AMAZEO 100 TABLETS 10^S,AMAZEO100,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
696,1336,1336,AMAZEO 200 TABLETS 10^S,AMAZEO200,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
697,1340,1340,AMAZEO OD 200 TABLETS 10^S,AMAZEOOD200,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
698,1337,1337,AMAZEO 300 TABLETS 10^S,AMAZEO300,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
699,1338,1338,AMAZEO 50 TABLETS 10^S,AMAZEO50,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
700,1335,1335,AMAZEO 100 TABLETS 10^S,AMAZEO100,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
701,1339,1339,AMAZEO OD 100 TABLETS 10^S,AMAZEOOD100,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
702,1340,1340,AMAZEO OD 200 TABLETS 10^S,AMAZEOOD200,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
703,1341,1341,AMAZEO OD 400 TABLETS 10^S,AMAZEOOD400,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
704,1336,1336,AMAZEO 200 TABLETS 10^S,AMAZEO200,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
705,1339,1339,AMAZEO OD 100 TABLETS 10^S,AMAZEOOD100,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
706,1340,1340,AMAZEO OD 200 TABLETS 10^S,AMAZEOOD200,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
707,1341,1341,AMAZEO OD 400 TABLETS 10^S,AMAZEOOD400,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
708,1339,1339,AMAZEO OD 100 TABLETS 10^S,AMAZEOOD100,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
709,1340,1340,AMAZEO OD 200 TABLETS 10^S,AMAZEOOD200,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
710,1341,1341,AMAZEO OD 400 TABLETS 10^S,AMAZEOOD400,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
711,1350,1350,AMBRODIL D SYRUP 100ML,AMBRODILD,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
712,1351,1351,AMBRODIL D SYRUP 100ML,AMBRODILD,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
713,1352,1352,AMBRODIL DROPS 15ML,AMBRODIL,DROPS 15ML, BOTTLE OF 100 ML SYRUP
714,1358,1358,AMBRODIL S SYRUP .100ML,AMBRODILS,SYRUP .100ML, BOTTLE OF 100 ML SYRUP
715,1359,1359,AMBRODIL S SYRUP 100ML,AMBRODILS,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
716,1360,1360,AMBRODIL SYRUP 100ML,AMBRODIL,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
717,1361,1361,AMBRODIL SYRUP 100ML.,AMBRODIL,SYRUP 100ML., BOTTLE OF 100 ML SYRUP
718,1362,1362,AMBRODIL TABLETS 10^S,AMBRODIL,STRIP OF 10 TABLETS, BOTTLE OF 100 ML SYRUP
719,1350,1350,AMBRODIL D SYRUP 100ML,AMBRODILD,SYRUP 100ML, BOTTLE OF 15 ML DROPS
720,1351,1351,AMBRODIL D SYRUP 100ML,AMBRODILD,SYRUP 100ML, BOTTLE OF 15 ML DROPS
721,1352,1352,AMBRODIL DROPS 15ML,AMBRODIL,DROPS 15ML, BOTTLE OF 15 ML DROPS
722,1358,1358,AMBRODIL S SYRUP .100ML,AMBRODILS,SYRUP .100ML, BOTTLE OF 15 ML DROPS
723,1359,1359,AMBRODIL S SYRUP 100ML,AMBRODILS,SYRUP 100ML, BOTTLE OF 15 ML DROPS
724,1360,1360,AMBRODIL SYRUP 100ML,AMBRODIL,SYRUP 100ML, BOTTLE OF 15 ML DROPS
725,1361,1361,AMBRODIL SYRUP 100ML.,AMBRODIL,SYRUP 100ML., BOTTLE OF 15 ML DROPS
726,1362,1362,AMBRODIL TABLETS 10^S,AMBRODIL,STRIP OF 10 TABLETS, BOTTLE OF 15 ML DROPS
727,1350,1350,AMBRODIL D SYRUP 100ML,AMBRODILD,SYRUP 100ML, STRIP OF 10 TABLETS
728,1351,1351,AMBRODIL D SYRUP 100ML,AMBRODILD,SYRUP 100ML, STRIP OF 10 TABLETS
729,1352,1352,AMBRODIL DROPS 15ML,AMBRODIL,DROPS 15ML, STRIP OF 10 TABLETS
730,1358,1358,AMBRODIL S SYRUP .100ML,AMBRODILS,SYRUP .100ML, STRIP OF 10 TABLETS
731,1359,1359,AMBRODIL S SYRUP 100ML,AMBRODILS,SYRUP 100ML, STRIP OF 10 TABLETS
732,1360,1360,AMBRODIL SYRUP 100ML,AMBRODIL,SYRUP 100ML, STRIP OF 10 TABLETS
733,1361,1361,AMBRODIL SYRUP 100ML.,AMBRODIL,SYRUP 100ML., STRIP OF 10 TABLETS
734,1362,1362,AMBRODIL TABLETS 10^S,AMBRODIL,STRIP OF 10 TABLETS, STRIP OF 10 TABLETS
735,1353,1353,AMBRODIL LX DROPS 15ML,AMBRODILLX,DROPS 15ML, BOTTLE OF 100 ML SYRUP
736,1354,1354,AMBRODIL LX SYRUP .100ML,AMBRODILLX,SYRUP .100ML, BOTTLE OF 100 ML SYRUP
737,1355,1355,AMBRODIL LX SYRUP 100ML,AMBRODILLX,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
738,1363,1363,AMBRODIL XP CAPSULES 1*10,AMBRODILXP,STRIP OF 10 CAPSULES, BOTTLE OF 100 ML SYRUP
739,1364,1364,AMBRODIL XP SYRUP 100ML,AMBRODILXP,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
740,1353,1353,AMBRODIL LX DROPS 15ML,AMBRODILLX,DROPS 15ML, BOTTLE OF 15 ML DROPS
741,1354,1354,AMBRODIL LX SYRUP .100ML,AMBRODILLX,SYRUP .100ML, BOTTLE OF 15 ML DROPS
742,1355,1355,AMBRODIL LX SYRUP 100ML,AMBRODILLX,SYRUP 100ML, BOTTLE OF 15 ML DROPS
743,1363,1363,AMBRODIL XP CAPSULES 1*10,AMBRODILXP,STRIP OF 10 CAPSULES, BOTTLE OF 15 ML DROPS
744,1364,1364,AMBRODIL XP SYRUP 100ML,AMBRODILXP,SYRUP 100ML, BOTTLE OF 15 ML DROPS
745,1353,1353,AMBRODIL LX DROPS 15ML,AMBRODILLX,DROPS 15ML, BOTTLE OF 100 ML SYRUP
746,1354,1354,AMBRODIL LX SYRUP .100ML,AMBRODILLX,SYRUP .100ML, BOTTLE OF 100 ML SYRUP
747,1355,1355,AMBRODIL LX SYRUP 100ML,AMBRODILLX,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
748,1363,1363,AMBRODIL XP CAPSULES 1*10,AMBRODILXP,STRIP OF 10 CAPSULES, BOTTLE OF 100 ML SYRUP
749,1364,1364,AMBRODIL XP SYRUP 100ML,AMBRODILXP,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
750,1350,1350,AMBRODIL D SYRUP 100ML,AMBRODILD,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
751,1351,1351,AMBRODIL D SYRUP 100ML,AMBRODILD,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
752,1358,1358,AMBRODIL S SYRUP .100ML,AMBRODILS,SYRUP .100ML, BOTTLE OF 100 ML SYRUP
753,1359,1359,AMBRODIL S SYRUP 100ML,AMBRODILS,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
754,1357,1357,AMBRODIL PLUS SYRUP 100ML,AMBRODILPLUS,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
755,1365,1365,AMBROLITE 2S SYRUP 100ML,AMBROLITE2S,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
756,1369,1369,AMBROLITE D SYRUP 100ML,AMBROLITED,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
757,1370,1370,AMBROLITE D+ SYRUP 100ML,AMBROLITED+,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
758,1374,1374,AMBROLITE S SYRUP # 100ML,AMBROLITES,SYRUP # 100ML, BOTTLE OF 100 ML SYRUP
759,1375,1375,AMBROLITE S SYRUP 100ML,AMBROLITES,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
760,1377,1377,AMBROLITE ST CAPSULES $,AMBROLITEST,CAPSULES $, BOTTLE OF 100 ML SYRUP
761,1378,1378,AMBROLITE TABLETS-30044090 10^S,AMBROLITE,TABLETS-30044090 STRIP OF 10, BOTTLE OF 100 ML SYRUP
762,1379,1379,AMBROLITE XT SYRUP,AMBROLITEXT,SYRUP, BOTTLE OF 100 ML SYRUP
763,1365,1365,AMBROLITE 2S SYRUP 100ML,AMBROLITE2S,SYRUP 100ML, STRIP OF 10 TABLETS
764,1369,1369,AMBROLITE D SYRUP 100ML,AMBROLITED,SYRUP 100ML, STRIP OF 10 TABLETS
765,1370,1370,AMBROLITE D+ SYRUP 100ML,AMBROLITED+,SYRUP 100ML, STRIP OF 10 TABLETS
766,1374,1374,AMBROLITE S SYRUP # 100ML,AMBROLITES,SYRUP # 100ML, STRIP OF 10 TABLETS
767,1375,1375,AMBROLITE S SYRUP 100ML,AMBROLITES,SYRUP 100ML, STRIP OF 10 TABLETS
768,1377,1377,AMBROLITE ST CAPSULES $,AMBROLITEST,CAPSULES $, STRIP OF 10 TABLETS
769,1378,1378,AMBROLITE TABLETS-30044090 10^S,AMBROLITE,TABLETS-30044090 STRIP OF 10, STRIP OF 10 TABLETS
770,1379,1379,AMBROLITE XT SYRUP,AMBROLITEXT,SYRUP, STRIP OF 10 TABLETS
771,1365,1365,AMBROLITE 2S SYRUP 100ML,AMBROLITE2S,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
772,1374,1374,AMBROLITE S SYRUP # 100ML,AMBROLITES,SYRUP # 100ML, BOTTLE OF 100 ML SYRUP
773,1375,1375,AMBROLITE S SYRUP 100ML,AMBROLITES,SYRUP 100ML, BOTTLE OF 100 ML SYRUP
774,1377,1377,AMBROLITE ST CAPSULES $,AMBROLITEST,CAPSULES $, BOTTLE OF 100 ML SYRUP
775,1378,1378,AMBROLITE TABLETS-30044090 10^S,AMBROLITE,TABLETS-30044090 STRIP OF 10, BOTTLE OF 100 ML SYRUP
776,1366,1366,AMBROLITE COLD SYRUP 30ML,AMBROLITECOLD,SYRUP 30ML, BOTTLE OF 30ML SYRUP
777,1367,1367,AMBROLITE COLD SYRUP 60ML,AMBROLITECOLD,SYRUP 60ML, BOTTLE OF 30ML SYRUP
778,1366,1366,AMBROLITE COLD SYRUP 30ML,AMBROLITECOLD,SYRUP 30ML, BOTTLE OF 60 ML SYRUP
779,1367,1367,AMBROLITE COLD SYRUP 60ML,AMBROLITECOLD,SYRUP 60ML, BOTTLE OF 60 ML SYRUP
780,1369,1369,AMBROLITE D SYRUP 100ML,AMBROLITED,SYRUP 100ML, BOTTLE OF 100ML SYRUP
781,1370,1370,AMBROLITE D+ SYRUP 100ML,AMBROLITED+,SYRUP 100ML, BOTTLE OF 100ML SYRUP
